2023/05/04 13:03:15.519 => OpenSerial: Com=6 BaudRate=256000, Success=1
2023/05/04 13:03:15.527 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2023/05/04 13:03:15.527 => protocol version = 1, send_recv buffer size = 64
2023/05/04 13:03:15.649 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2023/05/04 13:03:15.649 => protocol version = 1, send_recv buffer size = 64
2023/05/04 13:03:15.656 => CRadarProtocolProcess::UpdateVersion: CMDID(0x0000) Success
2023/05/04 13:03:15.656 => GetVersion Return: v1.4.4_32772.0
2023/05/04 13:03:20.141 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2023/05/04 13:03:20.141 => protocol version = 1, send_recv buffer size = 64
2023/05/04 13:03:20.270 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2023/05/04 13:03:20.270 => protocol version = 1, send_recv buffer size = 64
2023/05/04 13:03:20.776 => CRadarProtocolProcess::SendCommand: CMDID(0x0063) Success
2023/05/04 13:03:20.783 => CRadarProtocolProcess::CloseCmdMode: CMDID(0x00FE) Success
2023/05/04 13:03:20.791 => thread information, name=ABDData, tid=41736(0x0000a308)
2023/05/04 13:03:20.791 => thread create success, thread handle=0x000005ac, id=41736, name=ABDData
2023/05/04 13:03:35.610 => State=3, M_D=092, M_S=100, ML_D=108, ML_S=100, R_D=070
2023/05/04 13:03:35.713 => State=3, M_D=084, M_S=100, ML_D=092, ML_S=100, R_D=070
2023/05/04 13:03:35.813 => State=3, M_D=097, M_S=100, ML_D=084, ML_S=100, R_D=072
2023/05/04 13:03:35.913 => State=3, M_D=080, M_S=100, ML_D=097, ML_S=100, R_D=071
2023/05/04 13:03:36.013 => State=3, M_D=087, M_S=100, ML_D=080, ML_S=100, R_D=070
2023/05/04 13:03:36.110 => State=2, M_D=087, M_S=000, ML_D=087, ML_S=100, R_D=070
2023/05/04 13:03:36.210 => State=2, M_D=087, M_S=000, ML_D=087, ML_S=100, R_D=070
2023/05/04 13:03:36.312 => State=3, M_D=082, M_S=100, ML_D=087, ML_S=100, R_D=070
2023/05/04 13:03:36.410 => State=2, M_D=082, M_S=000, ML_D=082, ML_S=100, R_D=070
2023/05/04 13:03:36.512 => State=2, M_D=082, M_S=000, ML_D=082, ML_S=100, R_D=070
2023/05/04 13:03:36.610 => State=3, M_D=082, M_S=100, ML_D=082, ML_S=100, R_D=070
2023/05/04 13:03:36.713 => State=3, M_D=164, M_S=073, ML_D=082, ML_S=100, R_D=070
2023/05/04 13:03:36.809 => State=3, M_D=160, M_S=070, ML_D=164, ML_S=100, R_D=080
2023/05/04 13:03:36.913 => State=3, M_D=145, M_S=096, ML_D=160, ML_S=100, R_D=088
2023/05/04 13:03:37.010 => State=3, M_D=074, M_S=100, ML_D=145, ML_S=100, R_D=093
2023/05/04 13:03:37.110 => State=3, M_D=152, M_S=100, ML_D=074, ML_S=100, R_D=089
2023/05/04 13:03:37.211 => State=2, M_D=030, M_S=100, ML_D=152, ML_S=100, R_D=079
2023/05/04 13:03:37.309 => State=3, M_D=085, M_S=100, ML_D=030, ML_S=100, R_D=077
2023/05/04 13:03:37.410 => State=3, M_D=143, M_S=100, ML_D=085, ML_S=100, R_D=083
2023/05/04 13:03:37.510 => State=3, M_D=144, M_S=100, ML_D=143, ML_S=100, R_D=089
2023/05/04 13:03:37.614 => State=2, M_D=030, M_S=100, ML_D=144, ML_S=100, R_D=079
2023/05/04 13:03:37.713 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=070
2023/05/04 13:03:37.813 => State=3, M_D=111, M_S=100, ML_D=030, ML_S=100, R_D=073
2023/05/04 13:03:37.913 => State=3, M_D=137, M_S=100, ML_D=111, ML_S=100, R_D=079
2023/05/04 13:03:38.012 => State=3, M_D=083, M_S=100, ML_D=137, ML_S=100, R_D=077
2023/05/04 13:03:38.113 => State=3, M_D=043, M_S=100, ML_D=083, ML_S=100, R_D=071
2023/05/04 13:03:38.213 => State=2, M_D=351, M_S=100, ML_D=043, ML_S=100, R_D=103
2023/05/04 13:03:38.313 => State=3, M_D=356, M_S=100, ML_D=351, ML_S=100, R_D=132
2023/05/04 13:03:38.413 => State=2, M_D=065, M_S=100, ML_D=356, ML_S=100, R_D=122
